"state","N"
NA,NA
"Fall-Enviro-3",25.9368857142857
"Fall-Health-3",243.712471428571
"Fall-Pure-3",236.486957142857
"Graduated",504.875543337979
"Out",25.6466566643981
"Winter-Health-3",0.488057142857143
"Winter-Pure-3",0.488057142857143
"Fall-Enviro-4",0.5469
"Fall-Enviro-5",9.23353131428571
"Fall-Pure-5",59.0964276114286
"Fall-Pure-6",3.1086431702
"Fall-Enviro-7",0.3674901492
"Fall-Enviro-2",0.29
"Fall-Health-2",25.69
"Fall-Pure-2",38.86
"Winter-Health-2",0.29
"Fall-Health-4",15.905812
"Fall-Pure-4",19.190583
"Winter-Health-4",0.785153
"Fall-Health-5",34.5471468428571
"Fall-Health-6",1.6367080548
"Fall-Health-7",2.8147066794
"Fall-Health-8",0.07047263006784
"Fall-Health-9",0.43361594118612
"Fall-Pure-9",1.10746010427237
"Winter-Pure-2",0
"Winter-Pure-4",0.317335
"Winter-Pure-5",0
"Fall-Pure-7",1.7017398372
"Fall-DSP-1",22.2857142857143
"Fall-ESP-1",45
"Fall-Enviro-1",31.4285714285714
"Fall-Health-1",271.285714285714
"Fall-Pure-1",300
