"state","N"
NA,NA
"Fall-Enviro-3",26.6512
"Fall-Health-3",228.3061
"Fall-Pure-3",180.7102
"Graduated",416.1792656602
"Out",20.1069180398
"Winter-Health-3",0.6132
"Winter-Pure-3",0.6132
"Fall-Enviro-4",0.6584
"Fall-Enviro-5",9.616628
"Fall-Pure-5",45.17099111
"Fall-Pure-6",2.6045554216
"Fall-Enviro-7",0.27942084
"Fall-Enviro-2",0.03
"Fall-Health-2",3.72
"Fall-Pure-2",34.83
"Winter-Health-2",0.03
"Fall-Health-4",18.970912
"Fall-Pure-4",20.864293
"Winter-Health-4",0.902143
"Fall-Health-5",27.73725465
"Fall-Health-6",2.3344898304
"Fall-Health-7",2.51904114
"Fall-Health-8",0.3558286116
"Fall-Health-9",0.4528062
"Fall-Pure-9",1.0895787
"Winter-Pure-2",0
"Winter-Pure-4",0.344175
"Winter-Pure-5",0
"Fall-Pure-7",1.65533043
"Fall-Health-1",244
"Fall-Enviro-1",40
"Fall-ESP-1",43
"Fall-Pure-1",209
"Fall-DSP-1",12
