"state","N"
NA,NA
"Fall-Enviro-3",31.959
"Fall-Health-3",214.8221
"Fall-Pure-3",169.8787
"Graduated",435.096716504334
"Out",22.0549155623137
"Winter-Health-3",0.2628
"Winter-Pure-3",0.2628
"Fall-Enviro-4",0.0672
"Fall-Enviro-5",9.4878272
"Fall-Pure-5",46.07481457
"Fall-Pure-6",3.4220678362
"Fall-Enviro-7",0.3106170844
"Fall-Enviro-2",0.29
"Fall-Health-2",25.69
"Fall-Pure-2",38.86
"Winter-Health-2",0.29
"Fall-Health-4",3.097536
"Fall-Pure-4",16.758309
"Winter-Health-4",0.373599
"Fall-Health-5",32.31965025
"Fall-Health-6",1.9521068448
"Fall-Health-7",2.56292232966
"Fall-Health-8",0.51615570150144
"Fall-Health-9",0.365764773528
"Fall-Pure-9",0.986513684778
"Winter-Pure-2",0
"Winter-Pure-4",0.282495
"Winter-Pure-5",0
"Fall-Pure-7",1.76166865329
"Fall-DSP-1",22.2857142857143
"Fall-ESP-1",45
"Fall-Enviro-1",31.4285714285714
"Fall-Health-1",271.285714285714
"Fall-Pure-1",300
