"state","N"
NA,NA
"Fall-Enviro-3",27.013
"Fall-Health-3",195.459
"Fall-Pure-3",178.7511
"Graduated",399.832328
"Out",23.54146
"Winter-Health-3",0.6132
"Winter-Pure-3",0.6132
"Fall-Enviro-4",0.8192
"Fall-Enviro-5",8.6508
"Fall-Pure-5",42.44437
"Fall-Enviro-7",0.33592
"Fall-Enviro-2",0.35
"Fall-Health-2",30.84
"Fall-Pure-2",42.11
"Winter-Health-2",0.35
"Fall-Health-4",22.686976
"Fall-Pure-4",14.406004
"Winter-Health-4",0.900124
"Fall-Health-5",27.26235
"Fall-Health-6",1.609356
"Fall-Health-7",3.1185
"Fall-Health-8",0.371448
"Fall-Health-9",0.511104
"Fall-Pure-9",1.373604
"Winter-Pure-2",0
"Winter-Pure-4",0.23286
"Winter-Pure-5",0
"Fall-Pure-6",3.612058
"Fall-Pure-7",1.69806
"Fall-Pure-1",216
"Fall-Health-1",253
"Fall-DSP-1",28
"Fall-Enviro-1",32
"Fall-ESP-1",48
